continent;make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;engine-type;num-of-cylinders;fuel-system;bore;stroke;compression-ratio;horsepower;peak-rpm;city-mpg;highway-mpg;price;wheel-base;length;width;height;curb-weight;engine-size
europe;alfa-romero;gas;std;two;convertible;rwd;front;dohc;four;mpfi;3.47;2.68;9.00;111;5000;21;27;13495;88.60;168.80;64.10;48.80;2548;130
europe;alfa-romero;gas;std;two;convertible;rwd;front;dohc;four;mpfi;3.47;2.68;9.00;111;5000;21;27;16500;88.60;168.80;64.10;48.80;2548;130
europe;alfa-romero;gas;std;two;hatchback;rwd;front;ohcv;six;mpfi;2.68;3.47;9.00;154;5000;19;26;16500;94.50;171.20;65.50;52.40;2823;152
europe;audi;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;10.00;102;5500;24;30;13950;99.80;176.60;66.20;54.30;2337;109
europe;audi;gas;std;four;sedan;4wd;front;ohc;five;mpfi;3.19;3.40;8.00;115;5500;18;22;17450;99.40;176.60;66.40;54.30;2824;136
europe;audi;gas;std;two;sedan;fwd;front;ohc;five;mpfi;3.19;3.40;8.50;110;5500;19;25;15250;99.80;177.30;66.30;53.10;2507;136
europe;audi;gas;std;four;sedan;fwd;front;ohc;five;mpfi;3.19;3.40;8.50;110;5500;19;25;17710;105.80;192.70;71.40;55.70;2844;136
europe;audi;gas;std;four;wagon;fwd;front;ohc;five;mpfi;3.19;3.40;8.50;110;5500;19;25;18920;105.80;192.70;71.40;55.70;2954;136
europe;audi;gas;turbo;four;sedan;fwd;front;ohc;five;mpfi;3.13;3.40;8.30;140;5500;17;20;23875;105.80;192.70;71.40;55.90;3086;131
europe;bmw;gas;std;two;sedan;rwd;front;ohc;four;mpfi;3.50;2.80;8.80;101;5800;23;29;16430;101.20;176.80;64.80;54.30;2395;108
europe;bmw;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.50;2.80;8.80;101;5800;23;29;16925;101.20;176.80;64.80;54.30;2395;108
europe;bmw;gas;std;two;sedan;rwd;front;ohc;six;mpfi;3.31;3.19;9.00;121;4250;21;28;20970;101.20;176.80;64.80;54.30;2710;164
europe;bmw;gas;std;four;sedan;rwd;front;ohc;six;mpfi;3.31;3.19;9.00;121;4250;21;28;21105;101.20;176.80;64.80;54.30;2765;164
europe;bmw;gas;std;four;sedan;rwd;front;ohc;six;mpfi;3.31;3.19;9.00;121;4250;20;25;24565;103.50;189.00;66.90;55.70;3055;164
europe;bmw;gas;std;four;sedan;rwd;front;ohc;six;mpfi;3.62;3.39;8.00;182;5400;16;22;30760;103.50;189.00;66.90;55.70;3230;209
europe;bmw;gas;std;two;sedan;rwd;front;ohc;six;mpfi;3.62;3.39;8.00;182;5400;16;22;41315;103.50;193.80;67.90;53.70;3380;209
europe;bmw;gas;std;four;sedan;rwd;front;ohc;six;mpfi;3.62;3.39;8.00;182;5400;15;20;36880;110.00;197.00;70.90;56.30;3505;209
USA;chevrolet;gas;std;two;hatchback;fwd;front;l;three;2bbl;2.91;3.03;9.50;48;5100;47;53;5151;88.40;141.10;60.30;53.20;1488;61
USA;chevrolet;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.03;3.11;9.60;70;5400;38;43;6295;94.50;155.90;63.60;52.00;1874;90
USA;chevrolet;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.03;3.11;9.60;70;5400;38;43;6575;94.50;158.80;63.60;52.00;1909;90
USA;dodge;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;2.97;3.23;9.41;68;5500;37;41;5572;93.70;157.30;63.80;50.80;1876;90
USA;dodge;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;6377;93.70;157.30;63.80;50.80;1876;90
USA;dodge;gas;turbo;two;hatchback;fwd;front;ohc;four;mpfi;3.03;3.39;7.60;102;5500;24;30;7957;93.70;157.30;63.80;50.80;2128;98
USA;dodge;gas;std;four;hatchback;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;6229;93.70;157.30;63.80;50.60;1967;90
USA;dodge;gas;std;four;sedan;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;6692;93.70;157.30;63.80;50.60;1989;90
USA;dodge;gas;std;four;sedan;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;7609;93.70;157.30;63.80;50.60;1989;90
USA;dodge;gas;std;four;wagon;fwd;front;ohc;four;2bbl;3.34;3.46;8.50;88;5000;24;30;8921;103.30;174.60;64.60;59.80;2535;122
USA;dodge;gas;turbo;two;hatchback;fwd;front;ohc;four;mfi;3.60;3.90;7.00;145;5000;19;24;12964;95.90;173.20;66.30;50.20;2811;156
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;2.91;3.41;9.60;58;4800;49;54;6479;86.60;144.60;63.90;50.80;1713;92
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;2.91;3.41;9.20;76;6000;31;38;6855;86.60;144.60;63.90;50.80;1819;92
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;2.91;3.07;10.10;60;5500;38;42;5399;93.70;150.00;64.00;52.60;1837;79
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;2.91;3.41;9.20;76;6000;30;34;6529;93.70;150.00;64.00;52.60;1940;92
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;2.91;3.41;9.20;76;6000;30;34;7129;93.70;150.00;64.00;52.60;1956;92
asie;honda;gas;std;four;sedan;fwd;front;ohc;four;1bbl;2.91;3.41;9.20;76;6000;30;34;7295;96.50;163.40;64.00;54.50;2010;92
asie;honda;gas;std;four;wagon;fwd;front;ohc;four;1bbl;2.92;3.41;9.20;76;6000;30;34;7295;96.50;157.10;63.90;58.30;2024;92
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;3.15;3.58;9.00;86;5800;27;33;7895;96.50;167.50;65.20;53.30;2236;110
asie;honda;gas;std;two;hatchback;fwd;front;ohc;four;1bbl;3.15;3.58;9.00;86;5800;27;33;9095;96.50;167.50;65.20;53.30;2289;110
asie;honda;gas;std;four;sedan;fwd;front;ohc;four;1bbl;3.15;3.58;9.00;86;5800;27;33;8845;96.50;175.40;65.20;54.10;2304;110
asie;honda;gas;std;four;sedan;fwd;front;ohc;four;1bbl;3.15;3.58;9.00;86;5800;27;33;10295;96.50;175.40;62.50;54.10;2372;110
asie;honda;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.15;3.58;9.00;101;5800;24;28;12945;96.50;175.40;65.20;54.10;2465;110
asie;honda;gas;std;two;sedan;fwd;front;ohc;four;2bbl;3.15;3.58;9.10;100;5500;25;31;10345;96.50;169.10;66.00;51.00;2293;110
asie;isuzu;gas;std;four;sedan;rwd;front;ohc;four;2bbl;3.31;3.23;8.50;78;4800;24;29;6785;94.30;170.70;61.80;53.50;2337;111
asie;isuzu;gas;std;two;hatchback;rwd;front;ohc;four;spfi;3.43;3.23;9.20;90;5000;24;29;11048;96.00;172.60;65.20;51.40;2734;119
europe;jaguar;gas;std;four;sedan;rwd;front;dohc;six;mpfi;3.63;4.17;8.10;176;4750;15;19;32250;113.00;199.60;69.60;52.80;4066;258
europe;jaguar;gas;std;four;sedan;rwd;front;dohc;six;mpfi;3.63;4.17;8.10;176;4750;15;19;35550;113.00;199.60;69.60;52.80;4066;258
europe;jaguar;gas;std;two;sedan;rwd;front;ohcv;twelve;mpfi;3.54;2.76;11.50;262;5000;13;17;36000;102.00;191.70;70.60;47.80;3950;326
asie;mazda;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.03;3.15;9.00;68;5000;30;31;5195;93.10;159.10;64.20;54.10;1890;91
asie;mazda;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.03;3.15;9.00;68;5000;31;38;6095;93.10;159.10;64.20;54.10;1900;91
asie;mazda;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.03;3.15;9.00;68;5000;31;38;6795;93.10;159.10;64.20;54.10;1905;91
asie;mazda;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.03;3.15;9.00;68;5000;31;38;6695;93.10;166.80;64.20;54.10;1945;91
asie;mazda;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.08;3.15;9.00;68;5000;31;38;7395;93.10;166.80;64.20;54.10;1950;91
asie;mazda;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.39;3.39;8.60;84;4800;26;32;8845;98.80;177.80;66.50;53.70;2385;122
asie;mazda;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.39;3.39;8.60;84;4800;26;32;8495;98.80;177.80;66.50;55.50;2410;122
asie;mazda;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.39;3.39;8.60;84;4800;26;32;10595;98.80;177.80;66.50;53.70;2385;122
asie;mazda;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.39;3.39;8.60;84;4800;26;32;10245;98.80;177.80;66.50;55.50;2410;122
asie;mazda;gas;std;four;hatchback;fwd;front;ohc;four;2bbl;3.39;3.39;8.60;84;4800;26;32;11245;98.80;177.80;66.50;55.50;2425;122
asie;mazda;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.76;3.16;8.00;120;5000;19;27;18280;104.90;175.00;66.10;54.40;2670;140
asie;mazda;diesel;std;four;sedan;rwd;front;ohc;four;idi;3.43;3.64;22.00;72;4200;31;39;18344;104.90;175.00;66.10;54.40;2700;134
europe;mercedes-benz;diesel;turbo;four;sedan;rwd;front;ohc;five;idi;3.58;3.64;21.50;123;4350;22;25;25552;110.00;190.90;70.30;56.50;3515;183
europe;mercedes-benz;diesel;turbo;four;wagon;rwd;front;ohc;five;idi;3.58;3.64;21.50;123;4350;22;25;28248;110.00;190.90;70.30;58.70;3750;183
europe;mercedes-benz;diesel;turbo;two;hardtop;rwd;front;ohc;five;idi;3.58;3.64;21.50;123;4350;22;25;28176;106.70;187.50;70.30;54.90;3495;183
europe;mercedes-benz;diesel;turbo;four;sedan;rwd;front;ohc;five;idi;3.58;3.64;21.50;123;4350;22;25;31600;115.60;202.60;71.70;56.30;3770;183
europe;mercedes-benz;gas;std;four;sedan;rwd;front;ohcv;eight;mpfi;3.46;3.10;8.30;155;4750;16;18;34184;115.60;202.60;71.70;56.50;3740;234
